,Washington,Carter,Clinton,Bush jr.,Roosevelt,Tucker,Trump,Eisenhower,Reagan,Ford,Nixon,Johnson,Kennedy
0,3.73407331882,-9.45768125079,27.5496999843,-11.9857509102,1.90148565669,-669.538234581,6.07231880411,-1.04653644138,-1.85057734061,-8.46250316985,28.6449385074,165.300587229,-59.1542453357
1,2.55172128982,-24.6270051346,-15.5209411885,12.0294951259,3.70395169569,365.589766522,6.11558666316,-0.834075618378,12.5754397231,4.6611404467,16.2166233257,-98.009036733,-146.352607516
2,2.91837561068,5.44590335148,33.3895514763,2.18654382653,1.40911794461,-1085.20428448,2.38001569082,3.45031813717,0.16842096089,-29.7507414572,45.294246724,84.3295616246,-9.4096340246
3,2.56022612181,13.5063366397,25.4843654562,11.0806594182,1.08344929817,-467.031753281,5.87651218784,-1.97777988076,3.57707919412,-6.20341056329,29.3959787129,147.616359979,-98.2038583466
4,2.42403519966,-19.4484341589,-30.3604073492,7.13833985227,4.14266059349,-543.512743176,3.92113083425,-3.51475515297,6.5437231308,-37.0618185718,42.7139111345,-133.607567065,-121.587830971
5,0.660498405621,-42.9613183795,-8.99319130803,-16.5875121438,3.34794525764,1764.797387,5.04328285177,-4.72876156415,-41.9564708033,-22.1071094623,31.3543772386,-61.1868423597,-541.809012506
6,1.26216934551,-37.7566671066,29.5677518415,10.2946747561,2.47723356968,551.313962038,3.68132789523,-2.56954444048,28.5714491628,11.5459182427,36.1703104731,102.483227907,-286.465563596
7,0.1524690188,18.1562673181,32.524853759,-15.68316157,1.06165838109,-728.216069114,5.23456087832,-4.33368980384,-7.93383388017,-83.7745615218,51.3057210749,165.652428959,-290.54838497
8,0.521602001472,-31.78014885,9.98437725488,5.52546182186,2.83718685992,910.290071759,4.28523474653,-4.55074192158,12.9578596508,9.79591346456,30.6936292917,29.8740951523,-206.944538026
9,2.20913241405,0.18620322377,-39.2426916493,8.70780488628,4.71713385946,-1539.95417624,3.56364250333,-2.04815645097,0.000737006217676,-21.5313767763,43.4376364969,-149.508352051,-31.1409963527
10,3.02377901455,-4.7293679288,33.4391811473,1.8996201882,1.71129639501,-1095.81191479,2.37818085962,3.45695210903,0.110480256859,-30.182302559,45.3896990314,85.4402902478,-7.79008680352
